truth,trial,seed,alpha,beta,decision,error,stopping_time
Q,44,260717631,0.05,0.05,Q,False,88
Q,44,260717631,0.05,0.01,Q,False,88
Q,44,260717631,0.01,0.05,Q,False,89
Q,45,260717632,0.05,0.05,Q,False,51
Q,45,260717632,0.05,0.01,Q,False,51
Q,45,260717632,0.01,0.05,Q,False,76
Q,46,260717633,0.05,0.05,Q,False,69
Q,46,260717633,0.05,0.01,Q,False,69
Q,46,260717633,0.01,0.05,Q,False,70
Q,47,260717634,0.05,0.05,Q,False,109
Q,47,260717634,0.05,0.01,Q,False,109
Q,47,260717634,0.01,0.05,Q,False,110
Q,48,260717635,0.05,0.05,Q,False,128
Q,48,260717635,0.05,0.01,Q,False,128
Q,48,260717635,0.01,0.05,Q,False,130
Q,49,260717636,0.05,0.05,Q,False,60
Q,49,260717636,0.05,0.01,Q,False,60
Q,49,260717636,0.01,0.05,Q,False,79
Q,50,260717637,0.05,0.05,Q,False,65
Q,50,260717637,0.05,0.01,Q,False,65
Q,50,260717637,0.01,0.05,Q,False,66
Q,51,260717638,0.05,0.05,Q,False,110
Q,51,260717638,0.05,0.01,Q,False,110
Q,51,260717638,0.01,0.05,Q,False,116
Q,52,260717639,0.05,0.05,Q,False,70
Q,52,260717639,0.05,0.01,Q,False,70
Q,52,260717639,0.01,0.05,Q,False,90
Q,53,260717640,0.05,0.05,Q,False,108
Q,53,260717640,0.05,0.01,Q,False,108
Q,53,260717640,0.01,0.05,Q,False,110
Q,54,260717641,0.05,0.05,Q,False,117
Q,54,260717641,0.05,0.01,Q,False,117
Q,54,260717641,0.01,0.05,Q,False,128
Q,55,260717642,0.05,0.05,Q,False,75
Q,55,260717642,0.05,0.01,Q,False,75
Q,55,260717642,0.01,0.05,Q,False,77
Q,56,260717643,0.05,0.05,Q,False,99
Q,56,260717643,0.05,0.01,Q,False,99
Q,56,260717643,0.01,0.05,Q,False,101
Q,57,260717644,0.05,0.05,Q,False,69
Q,57,260717644,0.05,0.01,Q,False,69
Q,57,260717644,0.01,0.05,Q,False,73
Q,58,260717645,0.05,0.05,Q,False,129
Q,58,260717645,0.05,0.01,Q,False,129
Q,58,260717645,0.01,0.05,Q,False,132
Q,59,260717646,0.05,0.05,Q,False,131
Q,59,260717646,0.05,0.01,Q,False,131
Q,59,260717646,0.01,0.05,Q,False,134
Q,60,260717647,0.05,0.05,Q,False,61
Q,60,260717647,0.05,0.01,Q,False,61
Q,60,260717647,0.01,0.05,Q,False,62
Q,61,260717648,0.05,0.05,Q,False,180
Q,61,260717648,0.05,0.01,Q,False,180
Q,61,260717648,0.01,0.05,Q,False,182
Q,62,260717649,0.05,0.05,Q,False,104
Q,62,260717649,0.05,0.01,Q,False,104
Q,62,260717649,0.01,0.05,Q,False,109
Q,63,260717650,0.05,0.05,Q,False,64
Q,63,260717650,0.05,0.01,Q,False,64
Q,63,260717650,0.01,0.05,Q,False,70
Q,64,260717651,0.05,0.05,Q,False,85
Q,64,260717651,0.05,0.01,Q,False,85
Q,64,260717651,0.01,0.05,Q,False,86
Q,65,260717652,0.05,0.05,Q,False,118
Q,65,260717652,0.05,0.01,Q,False,118
Q,65,260717652,0.01,0.05,Q,False,119
Q,66,260717653,0.05,0.05,Q,False,136
Q,66,260717653,0.05,0.01,Q,False,136
Q,66,260717653,0.01,0.05,Q,False,138
Q,67,260717654,0.05,0.05,Q,False,61
Q,67,260717654,0.05,0.01,Q,False,61
Q,67,260717654,0.01,0.05,Q,False,65
Q,68,260717655,0.05,0.05,Q,False,50
Q,68,260717655,0.05,0.01,Q,False,50
Q,68,260717655,0.01,0.05,Q,False,53
Q,69,260717656,0.05,0.05,Q,False,77
Q,69,260717656,0.05,0.01,Q,False,77
Q,69,260717656,0.01,0.05,Q,False,79
Q,70,260717657,0.05,0.05,Q,False,61
Q,70,260717657,0.05,0.01,Q,False,61
Q,70,260717657,0.01,0.05,Q,False,62
Q,71,260717658,0.05,0.05,Q,False,112
Q,71,260717658,0.05,0.01,Q,False,112
Q,71,260717658,0.01,0.05,Q,False,120
Q,72,260717659,0.05,0.05,Q,False,82
Q,72,260717659,0.05,0.01,Q,False,82
Q,72,260717659,0.01,0.05,Q,False,84
