truth,trial,seed,alpha,beta,decision,error,stopping_time
Q,514,260718101,0.05,0.05,Q,False,131
Q,514,260718101,0.05,0.01,Q,False,131
Q,514,260718101,0.01,0.05,Q,False,132
Q,515,260718102,0.05,0.05,Q,False,49
Q,515,260718102,0.05,0.01,Q,False,49
Q,515,260718102,0.01,0.05,Q,False,53
Q,516,260718103,0.05,0.05,Q,False,79
Q,516,260718103,0.05,0.01,Q,False,79
Q,516,260718103,0.01,0.05,Q,False,80
Q,517,260718104,0.05,0.05,Q,False,147
Q,517,260718104,0.05,0.01,Q,False,147
Q,517,260718104,0.01,0.05,Q,False,160
Q,518,260718105,0.05,0.05,Q,False,98
Q,518,260718105,0.05,0.01,Q,False,98
Q,518,260718105,0.01,0.05,Q,False,105
Q,519,260718106,0.05,0.05,Q,False,130
Q,519,260718106,0.05,0.01,Q,False,130
Q,519,260718106,0.01,0.05,Q,False,131
Q,520,260718107,0.05,0.05,Q,False,61
Q,520,260718107,0.05,0.01,Q,False,61
Q,520,260718107,0.01,0.05,Q,False,63
Q,521,260718108,0.05,0.05,Q,False,97
Q,521,260718108,0.05,0.01,Q,False,97
Q,521,260718108,0.01,0.05,Q,False,98
Q,522,260718109,0.05,0.05,Q,False,41
Q,522,260718109,0.05,0.01,Q,False,41
Q,522,260718109,0.01,0.05,Q,False,42
Q,523,260718110,0.05,0.05,Q,False,45
Q,523,260718110,0.05,0.01,Q,False,45
Q,523,260718110,0.01,0.05,Q,False,46
Q,524,260718111,0.05,0.05,Q,False,54
Q,524,260718111,0.05,0.01,Q,False,54
Q,524,260718111,0.01,0.05,Q,False,58
Q,525,260718112,0.05,0.05,Q,False,33
Q,525,260718112,0.05,0.01,Q,False,33
Q,525,260718112,0.01,0.05,Q,False,34
Q,526,260718113,0.05,0.05,Q,False,114
Q,526,260718113,0.05,0.01,Q,False,114
Q,526,260718113,0.01,0.05,Q,False,117
Q,527,260718114,0.05,0.05,Q,False,83
Q,527,260718114,0.05,0.01,Q,False,83
Q,527,260718114,0.01,0.05,Q,False,92
Q,528,260718115,0.05,0.05,Q,False,81
Q,528,260718115,0.05,0.01,Q,False,81
Q,528,260718115,0.01,0.05,Q,False,82
Q,529,260718116,0.05,0.05,Q,False,111
Q,529,260718116,0.05,0.01,Q,False,111
Q,529,260718116,0.01,0.05,Q,False,111
Q,530,260718117,0.05,0.05,Q,False,29
Q,530,260718117,0.05,0.01,Q,False,29
Q,530,260718117,0.01,0.05,Q,False,55
Q,531,260718118,0.05,0.05,Q,False,65
Q,531,260718118,0.05,0.01,Q,False,65
Q,531,260718118,0.01,0.05,Q,False,68
Q,532,260718119,0.05,0.05,Q,False,89
Q,532,260718119,0.05,0.01,Q,False,89
Q,532,260718119,0.01,0.05,Q,False,90
Q,533,260718120,0.05,0.05,Q,False,128
Q,533,260718120,0.05,0.01,Q,False,128
Q,533,260718120,0.01,0.05,Q,False,151
Q,534,260718121,0.05,0.05,Q,False,39
Q,534,260718121,0.05,0.01,Q,False,39
Q,534,260718121,0.01,0.05,Q,False,54
Q,535,260718122,0.05,0.05,Q,False,80
Q,535,260718122,0.05,0.01,Q,False,80
Q,535,260718122,0.01,0.05,Q,False,82
Q,536,260718123,0.05,0.05,Q,False,75
Q,536,260718123,0.05,0.01,Q,False,75
Q,536,260718123,0.01,0.05,Q,False,91
Q,537,260718124,0.05,0.05,Q,False,99
Q,537,260718124,0.05,0.01,Q,False,99
Q,537,260718124,0.01,0.05,Q,False,100
Q,538,260718125,0.05,0.05,Q,False,98
Q,538,260718125,0.05,0.01,Q,False,98
Q,538,260718125,0.01,0.05,Q,False,101
Q,539,260718126,0.05,0.05,Q,False,52
Q,539,260718126,0.05,0.01,Q,False,52
Q,539,260718126,0.01,0.05,Q,False,55
Q,540,260718127,0.05,0.05,Q,False,64
Q,540,260718127,0.05,0.01,Q,False,64
Q,540,260718127,0.01,0.05,Q,False,66
Q,541,260718128,0.05,0.05,Q,False,122
Q,541,260718128,0.05,0.01,Q,False,122
Q,541,260718128,0.01,0.05,Q,False,130
Q,542,260718129,0.05,0.05,Q,False,94
Q,542,260718129,0.05,0.01,Q,False,94
Q,542,260718129,0.01,0.05,Q,False,99
Q,543,260718130,0.05,0.05,Q,False,75
Q,543,260718130,0.05,0.01,Q,False,75
Q,543,260718130,0.01,0.05,Q,False,77
Q,544,260718131,0.05,0.05,Q,False,88
Q,544,260718131,0.05,0.01,Q,False,88
Q,544,260718131,0.01,0.05,Q,False,92
Q,545,260718132,0.05,0.05,Q,False,94
Q,545,260718132,0.05,0.01,Q,False,94
Q,545,260718132,0.01,0.05,Q,False,98
Q,546,260718133,0.05,0.05,Q,False,71
Q,546,260718133,0.05,0.01,Q,False,71
Q,546,260718133,0.01,0.05,Q,False,72
Q,547,260718134,0.05,0.05,Q,False,75
Q,547,260718134,0.05,0.01,Q,False,75
Q,547,260718134,0.01,0.05,Q,False,79
Q,548,260718135,0.05,0.05,Q,False,66
Q,548,260718135,0.05,0.01,Q,False,66
Q,548,260718135,0.01,0.05,Q,False,68
Q,549,260718136,0.05,0.05,Q,False,33
Q,549,260718136,0.05,0.01,Q,False,33
Q,549,260718136,0.01,0.05,Q,False,34
Q,550,260718137,0.05,0.05,Q,False,62
Q,550,260718137,0.05,0.01,Q,False,62
Q,550,260718137,0.01,0.05,Q,False,65
Q,551,260718138,0.05,0.05,Q,False,138
Q,551,260718138,0.05,0.01,Q,False,138
Q,551,260718138,0.01,0.05,Q,False,140
Q,552,260718139,0.05,0.05,Q,False,124
Q,552,260718139,0.05,0.01,Q,False,124
Q,552,260718139,0.01,0.05,Q,False,125
Q,553,260718140,0.05,0.05,Q,False,132
Q,553,260718140,0.05,0.01,Q,False,132
Q,553,260718140,0.01,0.05,Q,False,134
Q,554,260718141,0.05,0.05,Q,False,74
Q,554,260718141,0.05,0.01,Q,False,74
Q,554,260718141,0.01,0.05,Q,False,76
Q,555,260718142,0.05,0.05,Q,False,22
Q,555,260718142,0.05,0.01,Q,False,22
Q,555,260718142,0.01,0.05,Q,False,27
Q,556,260718143,0.05,0.05,Q,False,64
Q,556,260718143,0.05,0.01,Q,False,64
Q,556,260718143,0.01,0.05,Q,False,69
Q,557,260718144,0.05,0.05,Q,False,78
Q,557,260718144,0.05,0.01,Q,False,78
Q,557,260718144,0.01,0.05,Q,False,79
Q,558,260718145,0.05,0.05,Q,False,96
Q,558,260718145,0.05,0.01,Q,False,96
Q,558,260718145,0.01,0.05,Q,False,99
Q,559,260718146,0.05,0.05,Q,False,124
Q,559,260718146,0.05,0.01,Q,False,124
Q,559,260718146,0.01,0.05,Q,False,127
Q,560,260718147,0.05,0.05,Q,False,54
Q,560,260718147,0.05,0.01,Q,False,54
Q,560,260718147,0.01,0.05,Q,False,55
Q,561,260718148,0.05,0.05,Q,False,140
Q,561,260718148,0.05,0.01,Q,False,140
Q,561,260718148,0.01,0.05,Q,False,142
Q,562,260718149,0.05,0.05,Q,False,119
Q,562,260718149,0.05,0.01,Q,False,119
Q,562,260718149,0.01,0.05,Q,False,128
Q,563,260718150,0.05,0.05,Q,False,72
Q,563,260718150,0.05,0.01,Q,False,72
Q,563,260718150,0.01,0.05,Q,False,73
Q,564,260718151,0.05,0.05,Q,False,66
Q,564,260718151,0.05,0.01,Q,False,66
Q,564,260718151,0.01,0.05,Q,False,67
Q,565,260718152,0.05,0.05,Q,False,68
Q,565,260718152,0.05,0.01,Q,False,68
Q,565,260718152,0.01,0.05,Q,False,69
Q,566,260718153,0.05,0.05,Q,False,62
Q,566,260718153,0.05,0.01,Q,False,62
Q,566,260718153,0.01,0.05,Q,False,63
Q,567,260718154,0.05,0.05,Q,False,108
Q,567,260718154,0.05,0.01,Q,False,108
Q,567,260718154,0.01,0.05,Q,False,109
Q,568,260718155,0.05,0.05,Q,False,85
Q,568,260718155,0.05,0.01,Q,False,85
Q,568,260718155,0.01,0.05,Q,False,87
Q,569,260718156,0.05,0.05,Q,False,89
Q,569,260718156,0.05,0.01,Q,False,89
Q,569,260718156,0.01,0.05,Q,False,94
Q,570,260718157,0.05,0.05,Q,False,136
Q,570,260718157,0.05,0.01,Q,False,136
Q,570,260718157,0.01,0.05,Q,False,138
Q,571,260718158,0.05,0.05,Q,False,98
Q,571,260718158,0.05,0.01,Q,False,98
Q,571,260718158,0.01,0.05,Q,False,99
Q,572,260718159,0.05,0.05,Q,False,38
Q,572,260718159,0.05,0.01,Q,False,38
Q,572,260718159,0.01,0.05,Q,False,40
Q,573,260718160,0.05,0.05,Q,False,88
Q,573,260718160,0.05,0.01,Q,False,88
Q,573,260718160,0.01,0.05,Q,False,95
Q,574,260718161,0.05,0.05,Q,False,89
Q,574,260718161,0.05,0.01,Q,False,89
Q,574,260718161,0.01,0.05,Q,False,119
Q,575,260718162,0.05,0.05,Q,False,104
Q,575,260718162,0.05,0.01,Q,False,104
Q,575,260718162,0.01,0.05,Q,False,111
Q,576,260718163,0.05,0.05,Q,False,95
Q,576,260718163,0.05,0.01,Q,False,95
Q,576,260718163,0.01,0.05,Q,False,96
Q,577,260718164,0.05,0.05,Q,False,131
Q,577,260718164,0.05,0.01,Q,False,131
Q,577,260718164,0.01,0.05,Q,False,136
Q,578,260718165,0.05,0.05,Q,False,58
Q,578,260718165,0.05,0.01,Q,False,58
Q,578,260718165,0.01,0.05,Q,False,63
Q,579,260718166,0.05,0.05,Q,False,85
Q,579,260718166,0.05,0.01,Q,False,85
Q,579,260718166,0.01,0.05,Q,False,87
Q,580,260718167,0.05,0.05,Q,False,84
Q,580,260718167,0.05,0.01,Q,False,84
Q,580,260718167,0.01,0.05,Q,False,89
Q,581,260718168,0.05,0.05,Q,False,59
Q,581,260718168,0.05,0.01,Q,False,59
Q,581,260718168,0.01,0.05,Q,False,60
Q,582,260718169,0.05,0.05,Q,False,101
Q,582,260718169,0.05,0.01,Q,False,101
Q,582,260718169,0.01,0.05,Q,False,103
Q,583,260718170,0.05,0.05,Q,False,114
Q,583,260718170,0.05,0.01,Q,False,114
Q,583,260718170,0.01,0.05,Q,False,120
Q,584,260718171,0.05,0.05,Q,False,100
Q,584,260718171,0.05,0.01,Q,False,100
Q,584,260718171,0.01,0.05,Q,False,102
Q,585,260718172,0.05,0.05,Q,False,58
Q,585,260718172,0.05,0.01,Q,False,58
Q,585,260718172,0.01,0.05,Q,False,59
Q,586,260718173,0.05,0.05,Q,False,96
Q,586,260718173,0.05,0.01,Q,False,96
Q,586,260718173,0.01,0.05,Q,False,96
Q,587,260718174,0.05,0.05,Q,False,121
Q,587,260718174,0.05,0.01,Q,False,121
Q,587,260718174,0.01,0.05,Q,False,122
Q,588,260718175,0.05,0.05,Q,False,80
Q,588,260718175,0.05,0.01,Q,False,80
Q,588,260718175,0.01,0.05,Q,False,81
Q,589,260718176,0.05,0.05,Q,False,46
Q,589,260718176,0.05,0.01,Q,False,46
Q,589,260718176,0.01,0.05,Q,False,47
Q,590,260718177,0.05,0.05,Q,False,120
Q,590,260718177,0.05,0.01,Q,False,120
Q,590,260718177,0.01,0.05,Q,False,121
Q,591,260718178,0.05,0.05,Q,False,98
Q,591,260718178,0.05,0.01,Q,False,98
Q,591,260718178,0.01,0.05,Q,False,99
Q,592,260718179,0.05,0.05,Q,False,99
Q,592,260718179,0.05,0.01,Q,False,99
Q,592,260718179,0.01,0.05,Q,False,103
Q,593,260718180,0.05,0.05,Q,False,71
Q,593,260718180,0.05,0.01,Q,False,71
Q,593,260718180,0.01,0.05,Q,False,72
Q,594,260718181,0.05,0.05,Q,False,125
Q,594,260718181,0.05,0.01,Q,False,125
Q,594,260718181,0.01,0.05,Q,False,127
Q,595,260718182,0.05,0.05,Q,False,111
Q,595,260718182,0.05,0.01,Q,False,111
Q,595,260718182,0.01,0.05,Q,False,113
Q,596,260718183,0.05,0.05,Q,False,61
Q,596,260718183,0.05,0.01,Q,False,61
Q,596,260718183,0.01,0.05,Q,False,64
Q,597,260718184,0.05,0.05,Q,False,89
Q,597,260718184,0.05,0.01,Q,False,89
Q,597,260718184,0.01,0.05,Q,False,92
Q,598,260718185,0.05,0.05,Q,False,67
Q,598,260718185,0.05,0.01,Q,False,67
Q,598,260718185,0.01,0.05,Q,False,68
Q,599,260718186,0.05,0.05,Q,False,84
Q,599,260718186,0.05,0.01,Q,False,84
Q,599,260718186,0.01,0.05,Q,False,86
Q,600,260718187,0.05,0.05,Q,False,85
Q,600,260718187,0.05,0.01,Q,False,85
Q,600,260718187,0.01,0.05,Q,False,88
Q,601,260718188,0.05,0.05,Q,False,85
Q,601,260718188,0.05,0.01,Q,False,85
Q,601,260718188,0.01,0.05,Q,False,99
Q,602,260718189,0.05,0.05,Q,False,73
Q,602,260718189,0.05,0.01,Q,False,73
Q,602,260718189,0.01,0.05,Q,False,74
Q,603,260718190,0.05,0.05,Q,False,54
Q,603,260718190,0.05,0.01,Q,False,54
Q,603,260718190,0.01,0.05,Q,False,55
Q,604,260718191,0.05,0.05,Q,False,119
Q,604,260718191,0.05,0.01,Q,False,119
Q,604,260718191,0.01,0.05,Q,False,125
Q,605,260718192,0.05,0.05,Q,False,99
Q,605,260718192,0.05,0.01,Q,False,99
Q,605,260718192,0.01,0.05,Q,False,102
Q,606,260718193,0.05,0.05,Q,False,88
Q,606,260718193,0.05,0.01,Q,False,88
Q,606,260718193,0.01,0.05,Q,False,94
Q,607,260718194,0.05,0.05,Q,False,51
Q,607,260718194,0.05,0.01,Q,False,51
Q,607,260718194,0.01,0.05,Q,False,92
Q,608,260718195,0.05,0.05,Q,False,50
Q,608,260718195,0.05,0.01,Q,False,50
Q,608,260718195,0.01,0.05,Q,False,53
Q,609,260718196,0.05,0.05,Q,False,51
Q,609,260718196,0.05,0.01,Q,False,51
Q,609,260718196,0.01,0.05,Q,False,55
Q,610,260718197,0.05,0.05,Q,False,76
Q,610,260718197,0.05,0.01,Q,False,76
Q,610,260718197,0.01,0.05,Q,False,77
Q,611,260718198,0.05,0.05,Q,False,96
Q,611,260718198,0.05,0.01,Q,False,96
Q,611,260718198,0.01,0.05,Q,False,98
Q,612,260718199,0.05,0.05,Q,False,114
Q,612,260718199,0.05,0.01,Q,False,114
Q,612,260718199,0.01,0.05,Q,False,117
Q,613,260718200,0.05,0.05,Q,False,70
Q,613,260718200,0.05,0.01,Q,False,70
Q,613,260718200,0.01,0.05,Q,False,71
Q,614,260718201,0.05,0.05,Q,False,82
Q,614,260718201,0.05,0.01,Q,False,82
Q,614,260718201,0.01,0.05,Q,False,87
Q,615,260718202,0.05,0.05,Q,False,103
Q,615,260718202,0.05,0.01,Q,False,103
Q,615,260718202,0.01,0.05,Q,False,104
Q,616,260718203,0.05,0.05,Q,False,127
Q,616,260718203,0.05,0.01,Q,False,127
Q,616,260718203,0.01,0.05,Q,False,130
Q,617,260718204,0.05,0.05,Q,False,57
Q,617,260718204,0.05,0.01,Q,False,57
Q,617,260718204,0.01,0.05,Q,False,62
Q,618,260718205,0.05,0.05,Q,False,56
Q,618,260718205,0.05,0.01,Q,False,56
Q,618,260718205,0.01,0.05,Q,False,60
Q,619,260718206,0.05,0.05,Q,False,57
Q,619,260718206,0.05,0.01,Q,False,57
Q,619,260718206,0.01,0.05,Q,False,60
Q,620,260718207,0.05,0.05,Q,False,44
Q,620,260718207,0.05,0.01,Q,False,44
Q,620,260718207,0.01,0.05,Q,False,85
Q,621,260718208,0.05,0.05,Q,False,76
Q,621,260718208,0.05,0.01,Q,False,76
Q,621,260718208,0.01,0.05,Q,False,78
Q,622,260718209,0.05,0.05,Q,False,96
Q,622,260718209,0.05,0.01,Q,False,96
Q,622,260718209,0.01,0.05,Q,False,97
Q,623,260718210,0.05,0.05,Q,False,108
Q,623,260718210,0.05,0.01,Q,False,108
Q,623,260718210,0.01,0.05,Q,False,109
Q,624,260718211,0.05,0.05,Q,False,49
Q,624,260718211,0.05,0.01,Q,False,49
Q,624,260718211,0.01,0.05,Q,False,49
Q,625,260718212,0.05,0.05,Q,False,68
Q,625,260718212,0.05,0.01,Q,False,68
Q,625,260718212,0.01,0.05,Q,False,69
Q,626,260718213,0.05,0.05,Q,False,91
Q,626,260718213,0.05,0.01,Q,False,91
Q,626,260718213,0.01,0.05,Q,False,98
Q,627,260718214,0.05,0.05,Q,False,61
Q,627,260718214,0.05,0.01,Q,False,61
Q,627,260718214,0.01,0.05,Q,False,63
Q,628,260718215,0.05,0.05,Q,False,70
Q,628,260718215,0.05,0.01,Q,False,70
Q,628,260718215,0.01,0.05,Q,False,72
Q,629,260718216,0.05,0.05,Q,False,99
Q,629,260718216,0.05,0.01,Q,False,99
Q,629,260718216,0.01,0.05,Q,False,100
Q,630,260718217,0.05,0.05,Q,False,70
Q,630,260718217,0.05,0.01,Q,False,70
Q,630,260718217,0.01,0.05,Q,False,80
Q,631,260718218,0.05,0.05,Q,False,54
Q,631,260718218,0.05,0.01,Q,False,54
Q,631,260718218,0.01,0.05,Q,False,100
Q,632,260718219,0.05,0.05,Q,False,112
Q,632,260718219,0.05,0.01,Q,False,112
Q,632,260718219,0.01,0.05,Q,False,118
Q,633,260718220,0.05,0.05,Q,False,77
Q,633,260718220,0.05,0.01,Q,False,77
Q,633,260718220,0.01,0.05,Q,False,79
Q,634,260718221,0.05,0.05,Q,False,57
Q,634,260718221,0.05,0.01,Q,False,57
Q,634,260718221,0.01,0.05,Q,False,60
Q,635,260718222,0.05,0.05,Q,False,97
Q,635,260718222,0.05,0.01,Q,False,97
Q,635,260718222,0.01,0.05,Q,False,98
Q,636,260718223,0.05,0.05,Q,False,100
Q,636,260718223,0.05,0.01,Q,False,100
Q,636,260718223,0.01,0.05,Q,False,103
Q,637,260718224,0.05,0.05,Q,False,55
Q,637,260718224,0.05,0.01,Q,False,55
Q,637,260718224,0.01,0.05,Q,False,56
Q,638,260718225,0.05,0.05,Q,False,111
Q,638,260718225,0.05,0.01,Q,False,111
Q,638,260718225,0.01,0.05,Q,False,117
Q,639,260718226,0.05,0.05,Q,False,57
Q,639,260718226,0.05,0.01,Q,False,57
Q,639,260718226,0.01,0.05,Q,False,60
Q,640,260718227,0.05,0.05,Q,False,82
Q,640,260718227,0.05,0.01,Q,False,82
Q,640,260718227,0.01,0.05,Q,False,85
Q,641,260718228,0.05,0.05,Q,False,32
Q,641,260718228,0.05,0.01,Q,False,32
Q,641,260718228,0.01,0.05,Q,False,33
Q,642,260718229,0.05,0.05,Q,False,81
Q,642,260718229,0.05,0.01,Q,False,81
Q,642,260718229,0.01,0.05,Q,False,83
Q,643,260718230,0.05,0.05,Q,False,116
Q,643,260718230,0.05,0.01,Q,False,116
Q,643,260718230,0.01,0.05,Q,False,135
Q,644,260718231,0.05,0.05,Q,False,77
Q,644,260718231,0.05,0.01,Q,False,77
Q,644,260718231,0.01,0.05,Q,False,78
Q,645,260718232,0.05,0.05,Q,False,109
Q,645,260718232,0.05,0.01,Q,False,109
Q,645,260718232,0.01,0.05,Q,False,116
Q,646,260718233,0.05,0.05,Q,False,89
Q,646,260718233,0.05,0.01,Q,False,89
Q,646,260718233,0.01,0.05,Q,False,90
Q,647,260718234,0.05,0.05,Q,False,69
Q,647,260718234,0.05,0.01,Q,False,69
Q,647,260718234,0.01,0.05,Q,False,76
Q,648,260718235,0.05,0.05,Q,False,105
Q,648,260718235,0.05,0.01,Q,False,105
Q,648,260718235,0.01,0.05,Q,False,109
Q,649,260718236,0.05,0.05,Q,False,46
Q,649,260718236,0.05,0.01,Q,False,46
Q,649,260718236,0.01,0.05,Q,False,66
Q,650,260718237,0.05,0.05,Q,False,106
Q,650,260718237,0.05,0.01,Q,False,106
Q,650,260718237,0.01,0.05,Q,False,108
Q,651,260718238,0.05,0.05,Q,False,71
Q,651,260718238,0.05,0.01,Q,False,71
Q,651,260718238,0.01,0.05,Q,False,72
Q,652,260718239,0.05,0.05,Q,False,122
Q,652,260718239,0.05,0.01,Q,False,122
Q,652,260718239,0.01,0.05,Q,False,124
Q,653,260718240,0.05,0.05,Q,False,44
Q,653,260718240,0.05,0.01,Q,False,44
Q,653,260718240,0.01,0.05,Q,False,57
Q,654,260718241,0.05,0.05,Q,False,90
Q,654,260718241,0.05,0.01,Q,False,90
Q,654,260718241,0.01,0.05,Q,False,93
Q,655,260718242,0.05,0.05,Q,False,93
Q,655,260718242,0.05,0.01,Q,False,93
Q,655,260718242,0.01,0.05,Q,False,94
Q,656,260718243,0.05,0.05,Q,False,88
Q,656,260718243,0.05,0.01,Q,False,88
Q,656,260718243,0.01,0.05,Q,False,92
Q,657,260718244,0.05,0.05,Q,False,71
Q,657,260718244,0.05,0.01,Q,False,71
Q,657,260718244,0.01,0.05,Q,False,72
Q,658,260718245,0.05,0.05,Q,False,103
Q,658,260718245,0.05,0.01,Q,False,103
Q,658,260718245,0.01,0.05,Q,False,105
Q,659,260718246,0.05,0.05,Q,False,63
Q,659,260718246,0.05,0.01,Q,False,63
Q,659,260718246,0.01,0.05,Q,False,64
Q,660,260718247,0.05,0.05,Q,False,142
Q,660,260718247,0.05,0.01,Q,False,142
Q,660,260718247,0.01,0.05,Q,False,143
Q,661,260718248,0.05,0.05,Q,False,52
Q,661,260718248,0.05,0.01,Q,False,52
Q,661,260718248,0.01,0.05,Q,False,56
Q,662,260718249,0.05,0.05,Q,False,37
Q,662,260718249,0.05,0.01,Q,False,37
Q,662,260718249,0.01,0.05,Q,False,50
Q,663,260718250,0.05,0.05,Q,False,92
Q,663,260718250,0.05,0.01,Q,False,92
Q,663,260718250,0.01,0.05,Q,False,97
Q,664,260718251,0.05,0.05,Q,False,42
Q,664,260718251,0.05,0.01,Q,False,42
Q,664,260718251,0.01,0.05,Q,False,95
Q,665,260718252,0.05,0.05,Q,False,124
Q,665,260718252,0.05,0.01,Q,False,124
Q,665,260718252,0.01,0.05,Q,False,125
Q,666,260718253,0.05,0.05,Q,False,44
Q,666,260718253,0.05,0.01,Q,False,44
Q,666,260718253,0.01,0.05,Q,False,59
Q,667,260718254,0.05,0.05,Q,False,60
Q,667,260718254,0.05,0.01,Q,False,60
Q,667,260718254,0.01,0.05,Q,False,62
Q,668,260718255,0.05,0.05,Q,False,111
Q,668,260718255,0.05,0.01,Q,False,111
Q,668,260718255,0.01,0.05,Q,False,114
Q,669,260718256,0.05,0.05,Q,False,98
Q,669,260718256,0.05,0.01,Q,False,98
Q,669,260718256,0.01,0.05,Q,False,107
Q,670,260718257,0.05,0.05,Q,False,120
Q,670,260718257,0.05,0.01,Q,False,120
Q,670,260718257,0.01,0.05,Q,False,122
Q,671,260718258,0.05,0.05,Q,False,101
Q,671,260718258,0.05,0.01,Q,False,101
Q,671,260718258,0.01,0.05,Q,False,107
Q,672,260718259,0.05,0.05,Q,False,100
Q,672,260718259,0.05,0.01,Q,False,100
Q,672,260718259,0.01,0.05,Q,False,102
Q,673,260718260,0.05,0.05,Q,False,76
Q,673,260718260,0.05,0.01,Q,False,76
Q,673,260718260,0.01,0.05,Q,False,78
Q,674,260718261,0.05,0.05,Q,False,68
Q,674,260718261,0.05,0.01,Q,False,68
Q,674,260718261,0.01,0.05,Q,False,69
Q,675,260718262,0.05,0.05,Q,False,197
Q,675,260718262,0.05,0.01,Q,False,197
Q,675,260718262,0.01,0.05,Q,False,206
Q,676,260718263,0.05,0.05,Q,False,80
Q,676,260718263,0.05,0.01,Q,False,80
Q,676,260718263,0.01,0.05,Q,False,81
Q,677,260718264,0.05,0.05,Q,False,136
Q,677,260718264,0.05,0.01,Q,False,136
Q,677,260718264,0.01,0.05,Q,False,137
Q,678,260718265,0.05,0.05,Q,False,66
Q,678,260718265,0.05,0.01,Q,False,66
Q,678,260718265,0.01,0.05,Q,False,67
Q,679,260718266,0.05,0.05,Q,False,47
Q,679,260718266,0.05,0.01,Q,False,47
Q,679,260718266,0.01,0.05,Q,False,77
Q,680,260718267,0.05,0.05,Q,False,62
Q,680,260718267,0.05,0.01,Q,False,62
Q,680,260718267,0.01,0.05,Q,False,64
Q,681,260718268,0.05,0.05,Q,False,64
Q,681,260718268,0.05,0.01,Q,False,64
Q,681,260718268,0.01,0.05,Q,False,88
Q,682,260718269,0.05,0.05,Q,False,61
Q,682,260718269,0.05,0.01,Q,False,61
Q,682,260718269,0.01,0.05,Q,False,62
Q,683,260718270,0.05,0.05,Q,False,77
Q,683,260718270,0.05,0.01,Q,False,77
Q,683,260718270,0.01,0.05,Q,False,78
Q,684,260718271,0.05,0.05,Q,False,79
Q,684,260718271,0.05,0.01,Q,False,79
Q,684,260718271,0.01,0.05,Q,False,80
Q,685,260718272,0.05,0.05,Q,False,77
Q,685,260718272,0.05,0.01,Q,False,77
Q,685,260718272,0.01,0.05,Q,False,80
Q,686,260718273,0.05,0.05,Q,False,79
Q,686,260718273,0.05,0.01,Q,False,79
Q,686,260718273,0.01,0.05,Q,False,97
Q,687,260718274,0.05,0.05,Q,False,107
Q,687,260718274,0.05,0.01,Q,False,107
Q,687,260718274,0.01,0.05,Q,False,108
Q,688,260718275,0.05,0.05,Q,False,149
Q,688,260718275,0.05,0.01,Q,False,149
Q,688,260718275,0.01,0.05,Q,False,154
Q,689,260718276,0.05,0.05,Q,False,80
Q,689,260718276,0.05,0.01,Q,False,80
Q,689,260718276,0.01,0.05,Q,False,82
Q,690,260718277,0.05,0.05,Q,False,91
Q,690,260718277,0.05,0.01,Q,False,91
Q,690,260718277,0.01,0.05,Q,False,110
Q,691,260718278,0.05,0.05,Q,False,70
Q,691,260718278,0.05,0.01,Q,False,70
Q,691,260718278,0.01,0.05,Q,False,72
Q,692,260718279,0.05,0.05,Q,False,58
Q,692,260718279,0.05,0.01,Q,False,58
Q,692,260718279,0.01,0.05,Q,False,59
Q,693,260718280,0.05,0.05,Q,False,36
Q,693,260718280,0.05,0.01,Q,False,36
Q,693,260718280,0.01,0.05,Q,False,46
Q,694,260718281,0.05,0.05,Q,False,106
Q,694,260718281,0.05,0.01,Q,False,106
Q,694,260718281,0.01,0.05,Q,False,108
Q,695,260718282,0.05,0.05,Q,False,166
Q,695,260718282,0.05,0.01,Q,False,166
Q,695,260718282,0.01,0.05,Q,False,168
Q,696,260718283,0.05,0.05,Q,False,89
Q,696,260718283,0.05,0.01,Q,False,89
Q,696,260718283,0.01,0.05,Q,False,90
Q,697,260718284,0.05,0.05,Q,False,94
Q,697,260718284,0.05,0.01,Q,False,94
Q,697,260718284,0.01,0.05,Q,False,109
Q,698,260718285,0.05,0.05,Q,False,80
Q,698,260718285,0.05,0.01,Q,False,80
Q,698,260718285,0.01,0.05,Q,False,83
Q,699,260718286,0.05,0.05,Q,False,184
Q,699,260718286,0.05,0.01,Q,False,184
Q,699,260718286,0.01,0.05,Q,False,193
Q,700,260718287,0.05,0.05,Q,False,49
Q,700,260718287,0.05,0.01,Q,False,49
Q,700,260718287,0.01,0.05,Q,False,49
Q,701,260718288,0.05,0.05,Q,False,122
Q,701,260718288,0.05,0.01,Q,False,122
Q,701,260718288,0.01,0.05,Q,False,125
Q,702,260718289,0.05,0.05,Q,False,41
Q,702,260718289,0.05,0.01,Q,False,41
Q,702,260718289,0.01,0.05,Q,False,42
Q,703,260718290,0.05,0.05,Q,False,73
Q,703,260718290,0.05,0.01,Q,False,73
Q,703,260718290,0.01,0.05,Q,False,77
Q,704,260718291,0.05,0.05,Q,False,87
Q,704,260718291,0.05,0.01,Q,False,87
Q,704,260718291,0.01,0.05,Q,False,88
Q,705,260718292,0.05,0.05,Q,False,108
Q,705,260718292,0.05,0.01,Q,False,108
Q,705,260718292,0.01,0.05,Q,False,109
Q,706,260718293,0.05,0.05,Q,False,95
Q,706,260718293,0.05,0.01,Q,False,95
Q,706,260718293,0.01,0.05,Q,False,99
Q,707,260718294,0.05,0.05,Q,False,40
Q,707,260718294,0.05,0.01,Q,False,40
Q,707,260718294,0.01,0.05,Q,False,42
