log_inverse_alpha,trials,mean_tau,se_tau,mean_tau_over_log,target_inverse_D
20.0,20,124.5,5.736540310748465,6.225,1.9026336161490294
40.0,20,177.55,6.267911177283528,4.438750000000001,1.9026336161490294
80.0,20,264.7,7.851617332552708,3.30875,1.9026336161490294
160.0,20,439.95,9.65550701876777,2.7496875,1.9026336161490294
320.0,20,768.4,16.070306059378748,2.40125,1.9026336161490294
