truth,log_inverse_error,trials,mean_tau,se_tau,mean_tau_over_log,target_inverse_D
Q,20.0,15,140.6,7.45960550469757,7.029999999999999,1.9026336161490294
P,20.0,15,201.66666666666666,6.4199589574913185,10.083333333333332,3.772094444137173
Q,80.0,15,265.93333333333334,8.812040824466457,3.3241666666666667,1.9026336161490294
P,80.0,15,461.73333333333335,13.93572547248418,5.7716666666666665,3.772094444137173
Q,320.0,15,756.4666666666667,16.55463297738349,2.3639583333333336,1.9026336161490294
P,320.0,15,1433.3333333333333,15.273901384127877,4.479166666666666,3.772094444137173
