theta,trial,seed,initial_state,log_inverse_alpha,stopping_time
-0.8,27,260417614,2,640.0,978
-0.8,27,260417614,2,1280.0,1887
-0.8,27,260417614,2,2560.0,3682
-0.8,27,260417614,2,5120.0,7150
-0.8,28,260417615,3,320.0,553
-0.8,28,260417615,3,640.0,1064
-0.8,28,260417615,3,1280.0,2011
-0.8,28,260417615,3,2560.0,3733
-0.8,28,260417615,3,5120.0,7248
-0.8,29,260417616,4,320.0,526
-0.8,29,260417616,4,640.0,935
-0.8,29,260417616,4,1280.0,1759
-0.8,29,260417616,4,2560.0,3494
-0.8,29,260417616,4,5120.0,6943
-0.8,30,260417617,0,320.0,530
-0.8,30,260417617,0,640.0,1011
-0.8,30,260417617,0,1280.0,1880
-0.8,30,260417617,0,2560.0,3648
-0.8,30,260417617,0,5120.0,7315
-0.8,31,260417618,1,320.0,598
-0.8,31,260417618,1,640.0,1067
-0.8,31,260417618,1,1280.0,1998
-0.8,31,260417618,1,2560.0,3825
-0.8,31,260417618,1,5120.0,7490
-0.8,32,260417619,2,320.0,526
-0.8,32,260417619,2,640.0,991
-0.8,32,260417619,2,1280.0,1860
-0.8,32,260417619,2,2560.0,3561
-0.8,32,260417619,2,5120.0,7038
-0.8,33,260417620,3,320.0,577
-0.8,33,260417620,3,640.0,1019
-0.8,33,260417620,3,1280.0,1927
-0.8,33,260417620,3,2560.0,3638
-0.8,33,260417620,3,5120.0,7150
-0.8,34,260417621,4,320.0,576
-0.8,34,260417621,4,640.0,1015
-0.8,34,260417621,4,1280.0,1949
-0.8,34,260417621,4,2560.0,3651
-0.8,34,260417621,4,5120.0,7165
-0.8,35,260417622,0,320.0,487
-0.8,35,260417622,0,640.0,949
-0.8,35,260417622,0,1280.0,1888
-0.8,35,260417622,0,2560.0,3655
-0.8,35,260417622,0,5120.0,7313
-0.8,36,260417623,1,320.0,516
-0.8,36,260417623,1,640.0,952
-0.8,36,260417623,1,1280.0,1848
-0.8,36,260417623,1,2560.0,3785
-0.8,36,260417623,1,5120.0,7385
-0.8,37,260417624,2,320.0,598
-0.8,37,260417624,2,640.0,1005
-0.8,37,260417624,2,1280.0,1950
-0.8,37,260417624,2,2560.0,3610
-0.8,37,260417624,2,5120.0,7273
-0.8,38,260417625,3,320.0,570
-0.8,38,260417625,3,640.0,1001
-0.8,38,260417625,3,1280.0,1844
-0.8,38,260417625,3,2560.0,3652
-0.8,38,260417625,3,5120.0,7139
-0.8,39,260417626,4,320.0,513
-0.8,39,260417626,4,640.0,972
-0.8,39,260417626,4,1280.0,1844
-0.8,39,260417626,4,2560.0,3588
-0.8,39,260417626,4,5120.0,7111
-0.8,40,260417627,0,320.0,554
-0.8,40,260417627,0,640.0,974
-0.8,40,260417627,0,1280.0,1852
-0.8,40,260417627,0,2560.0,3632
-0.8,40,260417627,0,5120.0,7196
-0.8,41,260417628,1,320.0,553
-0.8,41,260417628,1,640.0,1052
-0.8,41,260417628,1,1280.0,1918
-0.8,41,260417628,1,2560.0,3698
-0.8,41,260417628,1,5120.0,7215
-0.8,42,260417629,2,320.0,543
-0.8,42,260417629,2,640.0,1008
-0.8,42,260417629,2,1280.0,1882
-0.8,42,260417629,2,2560.0,3523
-0.8,42,260417629,2,5120.0,7152
-0.8,43,260417630,3,320.0,533
-0.8,43,260417630,3,640.0,1032
-0.8,43,260417630,3,1280.0,1992
-0.8,43,260417630,3,2560.0,3848
-0.8,43,260417630,3,5120.0,7326
-0.8,44,260417631,4,320.0,489
-0.8,44,260417631,4,640.0,977
-0.8,44,260417631,4,1280.0,1842
-0.8,44,260417631,4,2560.0,3542
