states,total,counts,log_mixture,empirical_kl,row_penalty,conditional_expectation,dominance_slack
2,0,0|0,0.0,0.0,1.0,1.0,1.0
2,1,0|1,-0.2876820724517805,0.4054651081081644,1.6931471805599452,1.0,1.0000000000000002
2,1,1|0,0.40546510810816483,1.0986122886681098,1.6931471805599452,1.0,1.0000000000000002
2,2,0|2,-0.28768207245178157,0.8109302162163288,2.0986122886681096,1.0,0.9999999999999991
2,2,1|1,-0.28768207245178123,0.11778303565638348,2.0986122886681096,1.0,1.693147180559945
2,2,2|0,1.0986122886681091,2.1972245773362196,2.0986122886681096,1.0,0.9999999999999991
2,3,0|3,-0.16989903679539609,1.2163953243244932,2.3862943611198904,1.0,1.000000000000001
2,3,1|2,-0.5753641449035611,0.0,2.3862943611198904,1.0,1.8109302162163292
2,3,2|1,0.11778303565638426,0.6931471805599453,2.3862943611198904,1.0,1.8109302162163292
2,3,3|0,1.9095425048844397,3.295836866004329,2.3862943611198904,1.0,1.0000000000000009
2,4,0|4,0.012422519998555925,1.6218604324326575,2.6094379124341005,1.0,0.9999999999999989
2,4,1|3,-0.6807246605613884,0.06566703451736944,2.6094379124341005,1.0,1.8630462173553428
2,4,2|2,-0.39304258810960846,0.23556607131276697,2.6094379124341005,1.0,1.980829253011725
2,4,3|1,0.7055697005585024,1.4519613956372601,2.6094379124341005,1.0,1.8630462173553428
2,4,4|0,2.7850112422383373,4.394449154672439,2.6094379124341005,1.0,0.9999999999999987
2,5,0|5,0.23556607131276674,2.027325540540822,2.791759469228055,1.0,0.9999999999999996
2,5,1|4,-0.6807246605613897,0.21846060340982865,2.791759469228055,1.0,1.8925742052568366
2,5,2|3,-0.6807246605613884,0.04856156661443073,2.791759469228055,1.0,2.062473242052236
2,5,3|2,0.012422519998557036,0.7417087471743762,2.791759469228055,1.0,2.062473242052236
2,5,4|1,1.3987168811184465,2.2979021450896644,2.791759469228055,1.0,1.892574205256837
2,5,5|0,3.7013019741124937,5.493061443340549,2.791759469228055,1.0,0.9999999999999996
2,6,0|6,0.4868804995936742,2.4327906486489863,2.9459101490553135,0.9999999999999999,1.0000000000000013
2,6,1|5,-0.6117317890744358,0.42257057601110437,2.9459101490553135,1.0,1.9116077839697732
2,6,2|4,-0.8348753403886473,0.0,2.9459101490553135,1.0,2.111034808666666
2,6,3|3,-0.4294102322804818,0.35334910696915045,2.9459101490553135,1.0,2.163150809805681
2,6,4|2,0.5514190207312435,1.3862943611198906,2.9459101490553135,1.0,2.111034808666666
2,6,5|1,2.1608569331653458,3.1951592982508856,2.9459101490553135,1.0,1.9116077839697736
2,6,6|0,4.645763582953346,6.591673732008658,2.9459101490553135,0.9999999999999999,1.0000000000000009
2,7,0|7,0.7588142150773165,2.8382557567571505,3.0794415416798357,1.0,1.0000000000000018
2,7,1|6,-0.4939487534180502,0.6605887092982334,3.0794415416798357,1.0,1.924904078963552
2,7,2|5,-0.8994138615262148,0.03666299778024146,3.0794415416798357,1.0,2.143364682373379
2,7,3|4,-0.7170923047322626,0.13734056553368512,3.0794415416798357,1.0,2.225008671413888
2,7,4|3,-0.023945124172316312,0.8304877460936302,3.0794415416798357,1.0,2.2250086714138892
2,7,5|2,1.1800276801536214,2.1161045394600775,3.0794415416798357,1.0,2.1433646823733796
2,7,6|1,2.971787149381676,4.12632461209796,3.0794415416798357,1.0,1.9249040789635514
2,7,7|0,5.610844478996934,7.690286020676768,3.0794415416798357,1.0,1.0000000000000013
2,8,0|8,1.0464962875290973,3.243720864865315,3.197224577336219,1.0,1.0000000000000013
2,8,1|7,-0.33979807359079217,0.922706755373766,3.197224577336219,1.0,1.934719748371661
2,8,2|6,-0.8994138615262148,0.13133406903473888,3.197224577336219,1.0,2.1664766467752656
2,8,3|5,-0.8994138615262139,0.030656501281294435,3.197224577336219,1.0,2.267154214528711
2,8,4|4,-0.4294102322804809,0.47113214262553393,3.197224577336219,1.0,2.2966822024302043
2,8,5|3,0.48688049959367685,1.4169508624011853,3.197224577336219,1.0,2.267154214528711
2,8,6|2,1.8731748607135668,2.9039227912745202,3.197224577336219,1.0,2.1664766467752656
2,8,7|1,3.81908500976888,5.0815898387334375,3.197224577336219,1.0,1.9347197483716618
2,8,8|0,6.59167373200866,8.788898309344878,3.197224577336219,1.0,1.0000000000000009
2,9,0|9,1.3466008799794333,3.6491859729734797,3.3025850929940455,0.9999999999999999,0.9999999999999991
2,9,1|8,-0.15747651679683994,1.202844290946137,3.3025850929940455,1.0,1.9422642852510685
2,9,2|7,-0.8506236973567836,0.2681245425744797,3.3025850929940455,1.0,2.183836853062782
2,9,3|6,-1.0047743771840407,0.0,3.3025850929940455,1.0,2.2978107158100047
2,9,4|5,-0.7170923047322608,0.23912050583735045,3.3025850929940455,0.9999999999999999,2.346372282424434
2,9,5|4,-0.023945124172315424,0.9322676863972956,3.3025850929940455,0.9999999999999999,2.3463722824244346
2,9,6|3,1.0746671644957946,2.0794415416798357,3.3025850929940455,1.0,2.2978107158100043
2,9,7|2,2.6151122054429425,3.7338604453742064,3.3025850929940455,1.0,2.1838368530627816
2,9,8|1,4.694553747122777,6.054874554865755,3.3025850929940455,1.0,1.9422642852510674
2,9,9|0,7.584925505018941,9.887510598012987,3.3025850929940455,0.9999999999999999,0.9999999999999987
2,10,0|10,1.6567558082832718,4.054651081081644,3.3978952727983702,1.0,0.9999999999999978
2,10,1|9,0.047317895849170455,1.4969685277271076,3.3978952727983702,1.0,1.948244640920433
2,10,2|8,-0.763612320367157,0.4369212068196573,3.3978952727983702,1.0,2.197361745611556
2,10,3|7,-1.0512943928189369,0.025449602212545497,3.3978952727983702,1.0,2.321151277766888
2,10,4|6,-0.9177630001944141,0.09712313322886146,3.3978952727983702,1.0,2.3830091393750945
2,10,5|5,-0.40693737642842187,0.5889151782819178,3.3978952727983702,1.0,2.4020427180880306
2,10,6|4,0.46853136092547665,1.4834174943487524,3.3978952727983702,1.0,2.3830091393750945
2,10,7|3,1.7212943294208447,2.7980383244523264,3.3978952727983702,1.0,2.3211512777668886
2,10,8|2,3.3952707629925154,4.595804290179329,3.3978952727983702,1.0,2.197361745611557
2,10,9|1,5.592495340328732,7.04214597220667,3.3978952727983702,1.0,1.9482446409204317
2,10,10|0,8.588227613882726,10.986122886681098,3.3978952727983702,1.0,0.9999999999999978
