a,b,gamma_ps,analytic_gamma_ps,best_k,C_P,exact_operator_norm,slack_ratio
0.1,0.2,0.5099999999999998,0.51,1,11.618998775743826,4.44444444444445,2.6142747245423577
0.25,0.15,0.6400000000000001,0.64,1,9.069076098742181,3.125000000000001,2.9021043515974974
0.35,0.35,0.9099999999999999,0.9099999999999999,1,7.585932702410422,1.4285714285714302,5.31015289168729
0.7,0.2,0.99,0.99,1,24.124857544653278,1.728395061728396,13.957953293692245
